"","Specimen_Number","Collection","Lot_Number","Collector","Ecoregion","County","Coastal_Proximity","Location","Site","SoCal_Group","Island_Size","Latitude","Longitude","Epoch","Formation","Decade","Year","Season","Month","Mean_SST","Mean_SST_Sdev","Length_mm","Width_mm","Geometric_Mean","Globosity_WoverL","Aperture_mm","Thickness_mm","Habitat","Depth","BRY","BAR","LMP","TWS","COR","ALG","SCR","BOR_TAP","BOR_STR","BOR_INC","mean_pvolc3","sd_pvolc3","zooplankton_n_points_used","zooplankton_mean_distance","fish_total_catch_wt_kg","fish_cpue_kg_per_ha_der","sd_total_catch_wt_kg","sd_cpue_kg_per_ha_der","fish_n_points_used","fish_mean_distance","Population_Density","Population_Density_NoBaja","MPA","Image_url"
"1588",2175,"MCZ","323185","Strong","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.9,"Holocene",NA,1940,1941,NA,NA,17.53284725,1.738154979,7.15,4.11,5.42,0.58,0.86,0.2,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.89210033,15.89210033,"no",NA
"1589",2176,"MCZ","323185","Strong","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.9,"Holocene",NA,1940,1941,NA,NA,17.53284725,1.738154979,8.75,4.92,6.56,0.56,0.87,0.5,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.89210033,15.89210033,"no",NA
"1590",2177,"MCZ","323185","Strong","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.9,"Holocene",NA,1940,1941,NA,NA,17.53284725,1.738154979,9.46,5.42,7.16,0.57,1.02,0.2,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.89210033,15.89210033,"no",NA
"1591",2178,"MCZ","323185","Strong","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.9,"Holocene",NA,1940,1941,NA,NA,17.53284725,1.738154979,9.75,5.99,7.64,0.61,1.18,0.18,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.89210033,15.89210033,"no",NA
"1592",2179,"MCZ","323185","Strong","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.9,"Holocene",NA,1940,1941,NA,NA,17.53284725,1.738154979,9.91,6.02,7.72,0.61,1.29,0.3,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.89210033,15.89210033,"no",NA
"1593",2180,"MCZ","323185","Strong","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.9,"Holocene",NA,1940,1941,NA,NA,17.53284725,1.738154979,10.9,6.75,8.58,0.62,1.32,0.25,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.89210033,15.89210033,"no",NA
"1594",2181,"MCZ","323185","Strong","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.9,"Holocene",NA,1940,1941,NA,NA,17.53284725,1.738154979,10.53,6.51,8.28,0.62,1.44,0.23,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.89210033,15.89210033,"no",NA
"1595",2182,"MCZ","323185","Strong","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.9,"Holocene",NA,1940,1941,NA,NA,17.53284725,1.738154979,13.87,8.17,10.65,0.59,1.47,0.39,NA,NA,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.89210033,15.89210033,"no",NA
"1596",2183,"MCZ","323185","Strong","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.9,"Holocene",NA,1940,1941,NA,NA,17.53284725,1.738154979,13.31,7.93,10.27,0.6,1.53,0.33,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.89210033,15.89210033,"no",NA
"1597",2184,"MCZ","323185","Strong","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.9,"Holocene",NA,1940,1941,NA,NA,17.53284725,1.738154979,15.09,8.8,11.52,0.58,1.53,0.34,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.89210033,15.89210033,"no",NA
"1598",2185,"MCZ","323185","Strong","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.9,"Holocene",NA,1940,1941,NA,NA,17.53284725,1.738154979,13.37,7.67,10.13,0.57,1.57,0.23,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.89210033,15.89210033,"no",NA
"1599",2186,"MCZ","323185","Strong","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.9,"Holocene",NA,1940,1941,NA,NA,17.53284725,1.738154979,13.91,8.25,10.71,0.59,1.57,0.35,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.89210033,15.89210033,"no",NA
"1600",2187,"MCZ","323185","Strong","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.9,"Holocene",NA,1940,1941,NA,NA,17.53284725,1.738154979,13.73,7.89,10.41,0.58,1.58,0.33,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.89210033,15.89210033,"no",NA
"1601",2188,"MCZ","323185","Strong","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.9,"Holocene",NA,1940,1941,NA,NA,17.53284725,1.738154979,14.17,8.35,10.88,0.59,1.6,0.28,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.89210033,15.89210033,"no",NA
"1602",2189,"MCZ","323185","Strong","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.9,"Holocene",NA,1940,1941,NA,NA,17.53284725,1.738154979,13.33,7.89,10.26,0.59,1.67,0.27,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.89210033,15.89210033,"no",NA
"1603",2190,"MCZ","323185","Strong","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.9,"Holocene",NA,1940,1941,NA,NA,17.53284725,1.738154979,12.47,7.56,9.71,0.61,1.68,0.24,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.89210033,15.89210033,"no",NA
"1604",2191,"MCZ","323185","Strong","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.9,"Holocene",NA,1940,1941,NA,NA,17.53284725,1.738154979,11.45,7.41,9.21,0.65,1.69,0.25,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.89210033,15.89210033,"no",NA
"1605",2192,"MCZ","323185","Strong","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.9,"Holocene",NA,1940,1941,NA,NA,17.53284725,1.738154979,15.29,8.47,11.38,0.55,1.74,0.36,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.89210033,15.89210033,"no",NA
"1606",2193,"MCZ","323185","Strong","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.9,"Holocene",NA,1940,1941,NA,NA,17.53284725,1.738154979,15.55,8.9,11.76,0.57,1.84,0.33,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.89210033,15.89210033,"no",NA
"1607",2194,"MCZ","323185","Strong","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.9,"Holocene",NA,1940,1941,NA,NA,17.53284725,1.738154979,13.86,7.45,10.16,0.54,1.87,0.16,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.89210033,15.89210033,"no",NA
"1608",2195,"MCZ","323185","Strong","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.9,"Holocene",NA,1940,1941,NA,NA,17.53284725,1.738154979,18.28,10.3,13.72,0.56,1.95,0.49,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.89210033,15.89210033,"no",NA
"1609",2196,"MCZ","323185","Strong","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.9,"Holocene",NA,1940,1941,NA,NA,17.53284725,1.738154979,15.14,8.61,11.42,0.57,1.96,0.21,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.89210033,15.89210033,"no",NA
"1610",2197,"MCZ","323185","Strong","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.9,"Holocene",NA,1940,1941,NA,NA,17.53284725,1.738154979,16.27,9.49,12.43,0.58,1.97,0.36,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.89210033,15.89210033,"no",NA
"1611",2198,"MCZ","323185","Strong","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.9,"Holocene",NA,1940,1941,NA,NA,17.53284725,1.738154979,15.7,8.94,11.85,0.57,2.01,0.27,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.89210033,15.89210033,"no",NA
"1612",2199,"MCZ","323185","Strong","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.9,"Holocene",NA,1940,1941,NA,NA,17.53284725,1.738154979,14.32,8.23,10.86,0.58,2.08,0.28,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.89210033,15.89210033,"no",NA
"1613",2200,"MCZ","323185","Strong","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.9,"Holocene",NA,1940,1941,NA,NA,17.53284725,1.738154979,16.45,10.07,12.87,0.61,2.16,0.32,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.89210033,15.89210033,"no",NA
"1614",2201,"MCZ","323185","Strong","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.9,"Holocene",NA,1940,1941,NA,NA,17.53284725,1.738154979,16.98,9.83,12.92,0.58,2.17,0.29,NA,NA,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.89210033,15.89210033,"no",NA
"1615",2202,"MCZ","323185","Strong","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.9,"Holocene",NA,1940,1941,NA,NA,17.53284725,1.738154979,20.51,11.2,15.16,0.55,2.17,0.31,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.89210033,15.89210033,"no",NA
"1616",2203,"MCZ","323185","Strong","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.9,"Holocene",NA,1940,1941,NA,NA,17.53284725,1.738154979,16.91,9.85,12.91,0.58,2.19,0.44,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.89210033,15.89210033,"no",NA
"1617",2204,"MCZ","323185","Strong","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.9,"Holocene",NA,1940,1941,NA,NA,17.53284725,1.738154979,18.37,10.54,13.91,0.57,2.31,0.36,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.89210033,15.89210033,"no",NA
"1618",2205,"MCZ","323185","Strong","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.9,"Holocene",NA,1940,1941,NA,NA,17.53284725,1.738154979,18.84,11.33,14.61,0.6,2.31,0.39,NA,NA,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.89210033,15.89210033,"no",NA
"1619",2206,"MCZ","323185","Strong","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.9,"Holocene",NA,1940,1941,NA,NA,17.53284725,1.738154979,19.01,11.94,15.07,0.63,2.38,0.38,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.89210033,15.89210033,"no",NA
"1620",2207,"MCZ","323185","Strong","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.9,"Holocene",NA,1940,1941,NA,NA,17.53284725,1.738154979,19.44,10.91,14.56,0.56,2.41,0.34,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.89210033,15.89210033,"no",NA
"1621",2208,"MCZ","323185","Strong","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.9,"Holocene",NA,1940,1941,NA,NA,17.53284725,1.738154979,19.06,10.8,14.35,0.57,2.47,0.48,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.89210033,15.89210033,"no",NA
"1622",2209,"MCZ","323185","Strong","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.9,"Holocene",NA,1940,1941,NA,NA,17.53284725,1.738154979,19.43,11.25,14.78,0.58,2.49,0.4,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.89210033,15.89210033,"no",NA
"1623",2210,"MCZ","323185","Strong","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.9,"Holocene",NA,1940,1941,NA,NA,17.53284725,1.738154979,19.3,11.25,14.74,0.58,2.55,0.35,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.89210033,15.89210033,"no",NA
"1624",2211,"MCZ","323185","Strong","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.9,"Holocene",NA,1940,1941,NA,NA,17.53284725,1.738154979,19.48,11.64,15.06,0.6,2.56,0.49,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.89210033,15.89210033,"no",NA
"1625",2212,"MCZ","323185","Strong","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.9,"Holocene",NA,1940,1941,NA,NA,17.53284725,1.738154979,22,11.84,16.14,0.54,2.58,0.35,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.89210033,15.89210033,"no",NA
"1626",2213,"MCZ","323185","Strong","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.9,"Holocene",NA,1940,1941,NA,NA,17.53284725,1.738154979,20.81,12.14,15.89,0.58,2.58,0.56,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.89210033,15.89210033,"no",NA
"1627",2214,"MCZ","323185","Strong","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.9,"Holocene",NA,1940,1941,NA,NA,17.53284725,1.738154979,18.86,11.36,14.64,0.6,2.6,0.31,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.89210033,15.89210033,"no",NA
"1628",2215,"MCZ","323185","Strong","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.9,"Holocene",NA,1940,1941,NA,NA,17.53284725,1.738154979,20.73,12.44,16.06,0.6,2.66,0.43,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.89210033,15.89210033,"no",NA
"1629",2216,"MCZ","323185","Strong","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.9,"Holocene",NA,1940,1941,NA,NA,17.53284725,1.738154979,20.3,12.38,15.85,0.61,2.68,0.27,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.89210033,15.89210033,"no",NA
"1630",2217,"MCZ","323185","Strong","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.9,"Holocene",NA,1940,1941,NA,NA,17.53284725,1.738154979,20.94,12.1,15.92,0.58,2.69,0.34,NA,NA,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.89210033,15.89210033,"no",NA
"1631",2218,"MCZ","323185","Strong","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.9,"Holocene",NA,1940,1941,NA,NA,17.53284725,1.738154979,21.4,11.69,15.82,0.55,2.76,0.33,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.89210033,15.89210033,"no",NA
"1632",2219,"MCZ","323185","Strong","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.9,"Holocene",NA,1940,1941,NA,NA,17.53284725,1.738154979,22.79,13.38,17.46,0.59,2.78,0.69,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.89210033,15.89210033,"no",NA
"1633",2220,"MCZ","323185","Strong","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.9,"Holocene",NA,1940,1941,NA,NA,17.53284725,1.738154979,20.99,11.52,15.55,0.55,2.79,0.39,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.89210033,15.89210033,"no",NA
"1634",2221,"MCZ","323185","Strong","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.9,"Holocene",NA,1940,1941,NA,NA,17.53284725,1.738154979,24.33,12.77,17.63,0.53,2.79,0.4,NA,NA,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.89210033,15.89210033,"no",NA
"1635",2222,"MCZ","323185","Strong","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.9,"Holocene",NA,1940,1941,NA,NA,17.53284725,1.738154979,19.75,11.89,15.32,0.6,2.79,0.4,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.89210033,15.89210033,"no",NA
"1636",2223,"MCZ","323185","Strong","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.9,"Holocene",NA,1940,1941,NA,NA,17.53284725,1.738154979,20.86,11.55,15.52,0.55,2.79,0.47,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.89210033,15.89210033,"no",NA
"1637",2224,"MCZ","323185","Strong","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.9,"Holocene",NA,1940,1941,NA,NA,17.53284725,1.738154979,21.19,12.29,16.14,0.58,2.8,0.37,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.89210033,15.89210033,"no",NA
"1638",2225,"MCZ","323185","Strong","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.9,"Holocene",NA,1940,1941,NA,NA,17.53284725,1.738154979,21.65,12.09,16.18,0.56,2.85,0.4,NA,NA,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.89210033,15.89210033,"no",NA
"1639",2226,"MCZ","323185","Strong","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.9,"Holocene",NA,1940,1941,NA,NA,17.53284725,1.738154979,19.85,11.03,14.8,0.56,2.87,0.4,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.89210033,15.89210033,"no",NA
"1640",2227,"MCZ","323185","Strong","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.9,"Holocene",NA,1940,1941,NA,NA,17.53284725,1.738154979,21.36,13.37,16.9,0.63,2.95,0.56,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.89210033,15.89210033,"no",NA
"1641",2228,"MCZ","323185","Strong","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.9,"Holocene",NA,1940,1941,NA,NA,17.53284725,1.738154979,22.97,13.05,17.31,0.57,2.98,0.53,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.89210033,15.89210033,"no",NA
"1642",2229,"MCZ","323185","Strong","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.9,"Holocene",NA,1940,1941,NA,NA,17.53284725,1.738154979,23.53,12.89,17.42,0.55,3.35,0.52,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.89210033,15.89210033,"no",NA
"1643",2309,"PR","1 atm Gland","Ul-Hasan","Southern California Bight","San Diego","Coastal","SD","San Diego: Mission Bay","San Diego",NA,32.76,-117.25,"Anthropocene",NA,2010,2017,"Spring",6,17.92041636,2.114710079,19,11.5,14.78,0.61,3,0.3,"sand","intertidal",0,NA,0,0,0,0,1,0,0,0,177.75,195.9400418,16,1.067754653,NA,NA,NA,NA,0,NA,1790.209961,1790.209961,"no",NA
"1644",2310,"PR","1 atm Gland","Ul-Hasan","Southern California Bight","San Diego","Coastal","SD","San Diego: Mission Bay","San Diego",NA,32.76,-117.25,"Anthropocene",NA,2010,2017,"Spring",6,17.92041636,2.114710079,20,11.5,15.17,0.58,3,0.3,"sand","intertidal",0,NA,0,0,0,0,1,0,0,0,177.75,195.9400418,16,1.067754653,NA,NA,NA,NA,0,NA,1790.209961,1790.209961,"no",NA
"1645",2311,"PR","1 atm Gland","Ul-Hasan","Southern California Bight","San Diego","Coastal","SD","San Diego: Mission Bay","San Diego",NA,32.76,-117.25,"Anthropocene",NA,2010,2017,"Spring",6,17.92041636,2.114710079,20.5,11.5,15.35,0.56,2.5,0.3,"sand","intertidal",1,NA,0,0,0,0,0,0,0,0,177.75,195.9400418,16,1.067754653,NA,NA,NA,NA,0,NA,1790.209961,1790.209961,"no",NA
"1646",2312,"PR","1 atm Gland","Ul-Hasan","Southern California Bight","San Diego","Coastal","SD","San Diego: Mission Bay","San Diego",NA,32.76,-117.25,"Anthropocene",NA,2010,2017,"Spring",6,17.92041636,2.114710079,19.5,11.5,14.97,0.59,3,0.3,"sand","intertidal",1,NA,0,0,0,1,0,0,0,0,177.75,195.9400418,16,1.067754653,NA,NA,NA,NA,0,NA,1790.209961,1790.209961,"no",NA
"1647",2313,"PR","1 atm Gland","Ul-Hasan","Southern California Bight","San Diego","Coastal","SD","San Diego: Mission Bay","San Diego",NA,32.76,-117.25,"Anthropocene",NA,2010,2017,"Spring",6,17.92041636,2.114710079,20.5,11,15.02,0.54,3,0.4,"sand","intertidal",1,NA,0,0,0,0,1,0,0,0,177.75,195.9400418,16,1.067754653,NA,NA,NA,NA,0,NA,1790.209961,1790.209961,"no",NA
"1648",2314,"PR","100 PSI Gland","Ul-Hasan","Southern California Bight","San Diego","Coastal","SD","San Diego: Mission Bay","San Diego",NA,32.76,-117.25,"Anthropocene",NA,2010,2017,"Spring",6,17.92041636,2.114710079,18.5,11,14.27,0.59,2.5,0.3,"sand","intertidal",0,NA,0,0,0,0,0,0,0,0,177.75,195.9400418,16,1.067754653,NA,NA,NA,NA,0,NA,1790.209961,1790.209961,"no",NA
"1649",2315,"PR","100 PSI Gland","Ul-Hasan","Southern California Bight","San Diego","Coastal","SD","San Diego: Mission Bay","San Diego",NA,32.76,-117.25,"Anthropocene",NA,2010,2017,"Spring",6,17.92041636,2.114710079,19,12,15.1,0.63,2.5,0.4,"sand","intertidal",1,NA,0,0,0,0,0,0,0,0,177.75,195.9400418,16,1.067754653,NA,NA,NA,NA,0,NA,1790.209961,1790.209961,"no",NA
"1650",2316,"PR","100 PSI Gland","Ul-Hasan","Southern California Bight","San Diego","Coastal","SD","San Diego: Mission Bay","San Diego",NA,32.76,-117.25,"Anthropocene",NA,2010,2017,"Spring",6,17.92041636,2.114710079,18.5,10.5,13.94,0.57,2,0.3,"sand","intertidal",0,NA,1,0,0,0,0,0,0,0,177.75,195.9400418,16,1.067754653,NA,NA,NA,NA,0,NA,1790.209961,1790.209961,"no",NA
"1651",2317,"PR","100 PSI Gland","Ul-Hasan","Southern California Bight","San Diego","Coastal","SD","San Diego: Mission Bay","San Diego",NA,32.76,-117.25,"Anthropocene",NA,2010,2017,"Spring",6,17.92041636,2.114710079,18.5,11,14.27,0.59,2,0.4,"sand","intertidal",1,NA,0,0,0,0,1,0,0,0,177.75,195.9400418,16,1.067754653,NA,NA,NA,NA,0,NA,1790.209961,1790.209961,"no",NA
"1652",2318,"PR","100 PSI Gland","Ul-Hasan","Southern California Bight","San Diego","Coastal","SD","San Diego: Mission Bay","San Diego",NA,32.76,-117.25,"Anthropocene",NA,2010,2017,"Spring",6,17.92041636,2.114710079,19,11,14.46,0.58,3,0.25,"sand","intertidal",1,NA,0,0,0,0,1,0,0,0,177.75,195.9400418,16,1.067754653,NA,NA,NA,NA,0,NA,1790.209961,1790.209961,"no",NA
"1653",2319,"PR","150mg/L TC Gland","Ul-Hasan","Southern California Bight","San Diego","Coastal","SD","San Diego: Mission Bay","San Diego",NA,32.76,-117.25,"Anthropocene",NA,2010,2017,"Spring",6,17.92041636,2.114710079,22,12,16.25,0.55,3.5,0.3,"sand","intertidal",1,NA,0,0,0,0,0,0,0,0,177.75,195.9400418,16,1.067754653,NA,NA,NA,NA,0,NA,1790.209961,1790.209961,"no",NA
